/usr/bin/gcc -std=gnu99 -Wall -fPIC -pthread -O2 -c *.c
/usr/bin/gcc -shared -Wl,-soname,libGSDDict.so.1 -o libGSDDict.so.1.0 *.o
ln -sf libGSDDict.so.1.0 libGSDDict.so.1
ln -sd libGSDDict.so.1.0 libGSDDict.so
/usr/bin/gcc -std=gnu99 -Wall -fPIC -pthread -O2 -I. -L. test/performance.c -lGSDDict -lpthread -lrt -operformance.run
LD_LIBRARY_PATH="." ./performance.run
Type, Max Epochs, Threads, Slots, Max Imbalance, Operations, Time, Rebalanced, Used Epochs
INSERT, 16, 1, 8, 8, 200000, 194:891899403, 22208, 2
LOOKUP, 16, 1, 8, 8, 200000, 0:82385041, 22208, 2
INSERT, 16, 1, 8, 16, 200000, 102:616474031, 11752, 2
LOOKUP, 16, 1, 8, 16, 200000, 0:86272697, 11752, 2
INSERT, 16, 1, 8, 32, 200000, 56:34780333, 6056, 2
LOOKUP, 16, 1, 8, 32, 200000, 0:86850051, 6056, 2
INSERT, 16, 1, 8, 64, 200000, 28:348301972, 3072, 2
LOOKUP, 16, 1, 8, 64, 200000, 0:94515371, 3072, 2
INSERT, 16, 1, 8, 128, 200000, 15:288340755, 1544, 2
LOOKUP, 16, 1, 8, 128, 200000, 0:88930910, 1544, 2
INSERT, 16, 1, 8, 256, 200000, 447:638336472, 49992, 2
LOOKUP, 16, 1, 8, 256, 200000, 0:86397189, 49992, 2
INSERT, 16, 1, 8, 512, 200000, 447:412216760, 49992, 2
LOOKUP, 16, 1, 8, 512, 200000, 0:85121959, 49992, 2
INSERT, 16, 1, 16, 8, 200000, 93:732970450, 22192, 2
LOOKUP, 16, 1, 16, 8, 200000, 0:94582294, 22192, 2
INSERT, 16, 1, 16, 16, 200000, 50:470502459, 11744, 2
LOOKUP, 16, 1, 16, 16, 200000, 0:96121996, 11744, 2
INSERT, 16, 1, 16, 32, 200000, 26:739448635, 6048, 2
LOOKUP, 16, 1, 16, 32, 200000, 0:98343906, 6048, 2
INSERT, 16, 1, 16, 64, 200000, 14:737042371, 3072, 2
LOOKUP, 16, 1, 16, 64, 200000, 0:100360330, 3072, 2
INSERT, 16, 1, 16, 128, 200000, 8:344293523, 1536, 2
LOOKUP, 16, 1, 16, 128, 200000, 0:98316589, 1536, 2
INSERT, 16, 1, 16, 256, 200000, 212:986504797, 49984, 2
LOOKUP, 16, 1, 16, 256, 200000, 0:102597856, 49984, 2
INSERT, 16, 1, 16, 512, 200000, 208:989301844, 49984, 2
LOOKUP, 16, 1, 16, 512, 200000, 0:95367143, 49984, 2
INSERT, 16, 1, 32, 8, 200000, 43:433693573, 22176, 2
LOOKUP, 16, 1, 32, 8, 200000, 0:110734246, 22176, 2
INSERT, 16, 1, 32, 16, 200000, 24:585379397, 11712, 2
LOOKUP, 16, 1, 32, 16, 200000, 0:105545465, 11712, 2
INSERT, 16, 1, 32, 32, 200000, 13:882599258, 6048, 2
LOOKUP, 16, 1, 32, 32, 200000, 0:101782196, 6048, 2
INSERT, 16, 1, 32, 64, 200000, 7:909480041, 3040, 2
LOOKUP, 16, 1, 32, 64, 200000, 0:100917494, 3040, 2
INSERT, 16, 1, 32, 128, 200000, 4:774669613, 1536, 2
LOOKUP, 16, 1, 32, 128, 200000, 0:95061018, 1536, 2
INSERT, 16, 1, 32, 256, 200000, 96:142528643, 49952, 2
LOOKUP, 16, 1, 32, 256, 200000, 0:111715513, 49952, 2
INSERT, 16, 1, 32, 512, 200000, 96:90869910, 49952, 2
LOOKUP, 16, 1, 32, 512, 200000, 0:113094418, 49952, 2
INSERT, 16, 1, 64, 8, 200000, 23:660964040, 22144, 2
LOOKUP, 16, 1, 64, 8, 200000, 0:122042616, 22144, 2
INSERT, 16, 1, 64, 16, 200000, 13:464185513, 11712, 2
LOOKUP, 16, 1, 64, 16, 200000, 0:115661860, 11712, 2
INSERT, 16, 1, 64, 32, 200000, 7:634849698, 6016, 2
LOOKUP, 16, 1, 64, 32, 200000, 0:105666102, 6016, 2
INSERT, 16, 1, 64, 64, 200000, 4:385170799, 3008, 2
LOOKUP, 16, 1, 64, 64, 200000, 0:115402753, 3008, 2
INSERT, 16, 1, 64, 128, 200000, 2:869280828, 1536, 2
LOOKUP, 16, 1, 64, 128, 200000, 0:115543635, 1536, 2
INSERT, 16, 1, 64, 256, 200000, 51:15128075, 49920, 2
LOOKUP, 16, 1, 64, 256, 200000, 0:125637174, 49920, 2
INSERT, 16, 1, 64, 512, 200000, 51:274982472, 49920, 2
LOOKUP, 16, 1, 64, 512, 200000, 0:127500181, 49920, 2
INSERT, 16, 1, 128, 8, 200000, 12:964703368, 22016, 2
LOOKUP, 16, 1, 128, 8, 200000, 0:126860997, 22016, 2
INSERT, 16, 1, 128, 16, 200000, 7:347838285, 11648, 2
LOOKUP, 16, 1, 128, 16, 200000, 0:131243649, 11648, 2
INSERT, 16, 1, 128, 32, 200000, 4:282782665, 6016, 2
LOOKUP, 16, 1, 128, 32, 200000, 0:122226187, 6016, 2
INSERT, 16, 1, 128, 64, 200000, 2:579400278, 2944, 2
LOOKUP, 16, 1, 128, 64, 200000, 0:125356514, 2944, 2
INSERT, 16, 1, 128, 128, 200000, 2:242972517, 1536, 2
LOOKUP, 16, 1, 128, 128, 200000, 0:131692857, 1536, 2
INSERT, 16, 1, 128, 256, 200000, 26:652824526, 49856, 2
LOOKUP, 16, 1, 128, 256, 200000, 0:141645008, 49856, 2
INSERT, 16, 1, 128, 512, 200000, 26:731707712, 49856, 2
LOOKUP, 16, 1, 128, 512, 200000, 0:132163192, 49856, 2
INSERT, 16, 1, 256, 8, 200000, 6:916724910, 22016, 2
LOOKUP, 16, 1, 256, 8, 200000, 0:128894872, 22016, 2
INSERT, 16, 1, 256, 16, 200000, 4:144099202, 11520, 2
LOOKUP, 16, 1, 256, 16, 200000, 0:127024086, 11520, 2
INSERT, 16, 1, 256, 32, 200000, 2:501817854, 5888, 2
LOOKUP, 16, 1, 256, 32, 200000, 0:119244725, 5888, 2
INSERT, 16, 1, 256, 64, 200000, 1:828766510, 2816, 2
LOOKUP, 16, 1, 256, 64, 200000, 0:137718564, 2816, 2
INSERT, 16, 1, 256, 128, 200000, 1:936059198, 1280, 2
LOOKUP, 16, 1, 256, 128, 200000, 0:245158137, 1280, 2
INSERT, 16, 1, 256, 256, 200000, 14:84215612, 49664, 2
LOOKUP, 16, 1, 256, 256, 200000, 0:126339983, 49664, 2
INSERT, 16, 1, 256, 512, 200000, 14:125870122, 49664, 2
LOOKUP, 16, 1, 256, 512, 200000, 0:122849123, 49664, 2
INSERT, 16, 1, 512, 8, 200000, 3:529964146, 21510, 2
LOOKUP, 16, 1, 512, 8, 200000, 0:135948470, 21510, 2
INSERT, 16, 1, 512, 16, 200000, 2:383299487, 11264, 2
LOOKUP, 16, 1, 512, 16, 200000, 0:137476313, 11264, 2
INSERT, 16, 1, 512, 32, 200000, 1:705420155, 5632, 2
LOOKUP, 16, 1, 512, 32, 200000, 0:135529999, 5632, 2
INSERT, 16, 1, 512, 64, 200000, 1:558239023, 2560, 2
LOOKUP, 16, 1, 512, 64, 200000, 0:184032919, 2560, 2
INSERT, 16, 1, 512, 128, 200000, 2:126592428, 1024, 2
LOOKUP, 16, 1, 512, 128, 200000, 0:413650187, 1024, 2
INSERT, 16, 1, 512, 256, 200000, 6:888557356, 49425, 2
LOOKUP, 16, 1, 512, 256, 200000, 0:133509963, 49425, 2
INSERT, 16, 1, 512, 512, 200000, 6:936919729, 49425, 2
LOOKUP, 16, 1, 512, 512, 200000, 0:133993957, 49425, 2
INSERT, 16, 2, 8, 8, 200000, 218:787130718, 11708, 16
LOOKUP, 16, 2, 8, 8, 200000, 0:154379065, 11708, 16
INSERT, 16, 2, 8, 16, 200000, 116:40688461, 6110, 16
LOOKUP, 16, 2, 8, 16, 200000, 0:162831995, 6110, 16
INSERT, 16, 2, 8, 32, 200000, 58:260644751, 3087, 16
LOOKUP, 16, 2, 8, 32, 200000, 0:153142063, 3087, 16
INSERT, 16, 2, 8, 64, 200000, 29:971005620, 1546, 16
LOOKUP, 16, 2, 8, 64, 200000, 0:161019922, 1546, 16
INSERT, 16, 2, 8, 128, 200000, 16:146295710, 769, 5
LOOKUP, 16, 2, 8, 128, 200000, 0:171146886, 769, 5
INSERT, 16, 2, 8, 256, 200000, 501:693662958, 27886, 16
LOOKUP, 16, 2, 8, 256, 200000, 0:157055615, 27886, 16
INSERT, 16, 2, 8, 512, 200000, 503:395244299, 28007, 16
LOOKUP, 16, 2, 8, 512, 200000, 0:142193169, 28007, 16
INSERT, 16, 2, 16, 8, 200000, 109:280082765, 12048, 16
LOOKUP, 16, 2, 16, 8, 200000, 0:178251519, 12048, 16
INSERT, 16, 2, 16, 16, 200000, 58:645940925, 6221, 16
LOOKUP, 16, 2, 16, 16, 200000, 0:178416943, 6221, 16
INSERT, 16, 2, 16, 32, 200000, 30:456428391, 3159, 16
LOOKUP, 16, 2, 16, 32, 200000, 0:166406539, 3159, 16
INSERT, 16, 2, 16, 64, 200000, 15:600855617, 1558, 3
LOOKUP, 16, 2, 16, 64, 200000, 0:171238220, 1558, 3
INSERT, 16, 2, 16, 128, 200000, 8:979464662, 779, 3
LOOKUP, 16, 2, 16, 128, 200000, 0:149538738, 779, 3
INSERT, 16, 2, 16, 256, 200000, 250:905708137, 28095, 16
LOOKUP, 16, 2, 16, 256, 200000, 0:163514534, 28095, 16
INSERT, 16, 2, 16, 512, 200000, 250:619670510, 28191, 16
LOOKUP, 16, 2, 16, 512, 200000, 0:159609364, 28191, 16
INSERT, 16, 2, 32, 8, 200000, 53:335600755, 12029, 16
LOOKUP, 16, 2, 32, 8, 200000, 0:164965008, 12029, 16
INSERT, 16, 2, 32, 16, 200000, 28:999057067, 6275, 16
LOOKUP, 16, 2, 32, 16, 200000, 0:173630310, 6275, 16
INSERT, 16, 2, 32, 32, 200000, 15:158622440, 3190, 16
LOOKUP, 16, 2, 32, 32, 200000, 0:159797302, 3190, 16
INSERT, 16, 2, 32, 64, 200000, 8:405536436, 1565, 16
LOOKUP, 16, 2, 32, 64, 200000, 0:157075513, 1565, 16
INSERT, 16, 2, 32, 128, 200000, 5:123476382, 771, 4
LOOKUP, 16, 2, 32, 128, 200000, 0:158497416, 771, 4
